"Rank","Name","GM","W-L","FT","FTA","FT%"
"334","USC Upstate","32","10-22","377","592","63.7"
"335","St. John's (NY)","32","8-24","454","714","63.6"
"336","Southeastern La.","33","12-21","441","694","63.5"
"337","Jackson St.","35","20-15","414","654","63.3"
"338","Auburn","31","11-20","472","747","63.2"
"339","Texas Southern","32","18-14","473","752","62.9"
"340","Charleston So.","30","9-21","318","512","62.1"
"341","Ill.-Chicago","30","5-25","492","795","61.9"
"342","Middle Tenn.","33","24-9","425","689","61.7"
"343","Delaware St.","32","7-25","330","536","61.6"
"344","Ark.-Pine Bluff","33","8-25","317","519","61.1"
"345","Harvard","30","14-16","313","525","59.6"
"346","Florida A&M","29","8-21","407","691","58.9"
"NR","Incarnate Word","29","17-12","475","620","76.6"
"NR","Abilene Christian","31","13-18","458","653","70.1"
"NR","Grand Canyon","32","26-6","557","803","69.4"
"NR","UMass Lowell","29","11-18","381","556","68.5"
"NR","Northern Ky.","30","9-21","372","545","68.3"
