"Rank","Name","GM","W-L","Opp TO","TO","Ratio"
"315","Texas Southern","32","18-14","348","426","-2.4"
"316","California","33","23-10","321","403","-2.5"
"317","Purdue","34","26-8","320","406","-2.5"
"","Western Ky.","34","18-16","364","450","-2.5"
"319","DePaul","31","9-22","379","458","-2.5"
"320","Seattle","30","14-16","393","471","-2.6"
"321","New Mexico St.","33","23-10","365","455","-2.7"
"322","Georgia","32","19-13","342","430","-2.8"
"","USC Upstate","32","10-22","361","449","-2.8"
"324","Delaware","30","7-23","275","360","-2.8"
"325","Niagara","32","7-25","370","461","-2.8"
"326","Central Ark.","28","7-21","326","407","-2.9"
"327","FIU","32","13-19","319","414","-3.0"
"328","Harvard","30","14-16","346","436","-3.0"
"","Quinnipiac","30","9-21","369","459","-3.0"
"","New Mexico","32","17-15","393","489","-3.0"
"331","UMES","32","10-22","412","512","-3.1"
"332","Washington St.","31","9-22","338","440","-3.3"
"333","Ill.-Chicago","30","5-25","352","453","-3.4"
"334","Wake Forest","31","11-20","342","451","-3.5"
"335","Central Conn. St.","29","4-25","300","402","-3.5"
"336","Siena","33","21-12","409","527","-3.6"
"337","Appalachian St.","31","9-22","349","462","-3.6"
"338","Drake","31","7-24","302","421","-3.8"
"339","South Fla.","33","8-25","316","485","-5.1"
"340","Bradley","32","5-27","376","548","-5.4"
"341","UCF","30","12-18","278","440","-5.4"
"342","George Mason","32","11-21","223","407","-5.8"
"NR","Grand Canyon","32","26-6","437","390","1.5"
"NR","Abilene Christian","31","13-18","448","418","1.0"
"NR","Incarnate Word","29","17-12","390","368","0.8"
"NR","UMass Lowell","29","11-18","418","455","-1.3"
"NR","Northern Ky.","30","9-21","348","406","-1.9"
